celltype,markers
neuron,RBFOX3
neuron,MYT1L
neuron,CACNA1B
neuron,WBSCR17
neuron,FAM153B
neuron,FRMPD4
neuron,GRIN1
neuron,GABRG3
neuron,MTUS2
neuron,TENM2
oligodendrocyte,TMEM144
oligodendrocyte,DOCK5
oligodendrocyte,MBP
oligodendrocyte,FRMD4B
oligodendrocyte,ST18
oligodendrocyte,SHTN1
oligodendrocyte,PIP4K2A
oligodendrocyte,ST6GALNAC3
oligodendrocyte,MAN2A1
oligodendrocyte,OPALIN
oligodendrocyte,KANK4
endothelial,ABCB1
endothelial,CD34
endothelial,FLT4
endothelial,TIE1
endothelial,EGFL7
endothelial,ADGRL4
endothelial,ERG
endothelial,PTPRB
endothelial,CYYR1
endothelial,NOTCH4
endothelial,MECOM
endothelial,ANO2
endothelial,HSPG2
endothelial,BTNL9
endothelial,CDA
pericyte,CD248
pericyte,RGS5
pericyte,SLC38A11
pericyte,CARMN
pericyte,EDNRA
pericyte,PLXDC1
pericyte,GRM8
pericyte,PDGFRB
pericyte,TRPC6
pericyte,EBF2
pericyte,PRR16
pericyte,PRKG1
pericyte,C1S
pericyte,DCN
endothelial_and_pericyte,MYO1B
endothelial_and_pericyte,ITGA1
endothelial_and_pericyte,COBLL1
endothelial_and_pericyte,EBF1
endothelial_and_pericyte,ADGRF5
endothelial_and_pericyte,RBPMS
endothelial_and_pericyte,SVIL
endothelial_and_pericyte,SLC38A11
endothelial_and_pericyte,CARMN
endothelial_and_pericyte,FLT1
TAM,CD163
TAM,P2RY12
TAM,CD14
TAM,ITGB2
TAM,C1QC
TAM,SLC11A1
OPC,COL9A1
OPC,PDGFRA
OPC,SMOC1
OPC,CA10
OPC,PCDH15
OPC,LINC02283
OPC,AL512308.1
OPC,ADARB2
OPC,SCN9A
cell cycling,TOP2A
cell cycling,AURKB
tumor,EGFR
tumor,GFAP
tumor,SOX2
tumor,VIM
tumor,PTPRZ1
tumor,TENM1
astrocyte,LRRC3B
astrocyte,GABRG1
astrocyte,ETNPPL
astrocyte,LINC00499
astrocyte,TPD52L1
astrocyte,AC002429.2
astrocyte,SLC39A12
astrocyte,EMX2
astrocyte,SPON1
astrocyte,WIF1
astrocyte,LINC00943
astrocyte,GJB6
astrocyte,ZNF98
astrocyte,FOXG1
astrocyte,SLC7A10
T-cell,CD2
T-cell,CD3D
T-cell,TRBC2
T-cell,TRAC
T-cell,ICOS
T-cell,GZMA
T-cell,SKAP1
T-cell,CD96
T-cell,THEMIS
T-cell,SLFN12L
