Gene	Oligo-program	Astro-program	Stemness-program
OLIG1	TRUE	FALSE	FALSE
NEU4	TRUE	FALSE	FALSE
GPR17	TRUE	FALSE	FALSE
SLC1A1	TRUE	FALSE	FALSE
ATCAY	TRUE	FALSE	FALSE
SIRT2	TRUE	FALSE	FALSE
APOD	TRUE	FALSE	FALSE
MYT1	TRUE	FALSE	FALSE
OLIG2	TRUE	FALSE	FALSE
TMEFF2	TRUE	FALSE	FALSE
OMG	TRUE	FALSE	FALSE
ELMO1	TRUE	FALSE	FALSE
RTKN	TRUE	FALSE	FALSE
HIP1R	TRUE	FALSE	FALSE
TNR	TRUE	FALSE	FALSE
RPSA	TRUE	FALSE	FALSE
MEGF11	TRUE	FALSE	FALSE
EVI2A	TRUE	FALSE	FALSE
OPCML	TRUE	FALSE	FALSE
LHFPL3	TRUE	FALSE	FALSE
RAB33A	TRUE	FALSE	FALSE
GRIA4	TRUE	FALSE	FALSE
SERINC5	TRUE	FALSE	FALSE
NXPH1	TRUE	FALSE	FALSE
BIN1	TRUE	FALSE	FALSE
BMP4	TRUE	FALSE	FALSE
EHD3	TRUE	FALSE	FALSE
GNAI1	TRUE	FALSE	FALSE
CSPG4	TRUE	FALSE	FALSE
DSCAM	TRUE	FALSE	FALSE
GALNT13	TRUE	FALSE	FALSE
ZDHHC9	TRUE	FALSE	FALSE
ABCG1	TRUE	FALSE	FALSE
FKBP1A	TRUE	FALSE	FALSE
LRRN1	TRUE	FALSE	FALSE
ST8SIA3	TRUE	FALSE	FALSE
DNM3	TRUE	FALSE	FALSE
RAPGEF4	TRUE	FALSE	FALSE
CNP	TRUE	FALSE	FALSE
PDGFRA	TRUE	FALSE	FALSE
PTGDS	TRUE	FALSE	FALSE
CHGA	TRUE	FALSE	FALSE
BCAS1	TRUE	FALSE	FALSE
PLXNB3	TRUE	FALSE	FALSE
NFASC	TRUE	FALSE	FALSE
SLC44A1	TRUE	FALSE	FALSE
GNG4	TRUE	FALSE	FALSE
PHLDB1	TRUE	FALSE	FALSE
CD82	TRUE	FALSE	FALSE
PRKCZ	TRUE	FALSE	FALSE
APOE	FALSE	TRUE	FALSE
SPARCL1	FALSE	TRUE	FALSE
VIM	FALSE	TRUE	FALSE
ID4	FALSE	TRUE	FALSE
TIMP3	FALSE	TRUE	FALSE
EDNRB	FALSE	TRUE	FALSE
MLC1	FALSE	TRUE	FALSE
ID3	FALSE	TRUE	FALSE
CLU	FALSE	TRUE	FALSE
TNC	FALSE	TRUE	FALSE
ZFP36L1	FALSE	TRUE	FALSE
ARHGEF26	FALSE	TRUE	FALSE
ATP1B2	FALSE	TRUE	FALSE
AGT	FALSE	TRUE	FALSE
RGMA	FALSE	TRUE	FALSE
JUN	FALSE	TRUE	FALSE
PFKFB3	FALSE	TRUE	FALSE
EZR	FALSE	TRUE	FALSE
SLC1A3	FALSE	TRUE	FALSE
ALDOC	FALSE	TRUE	FALSE
JUNB	FALSE	TRUE	FALSE
ATP1A2	FALSE	TRUE	FALSE
DTNA	FALSE	TRUE	FALSE
ZFP36	FALSE	TRUE	FALSE
SOX9	FALSE	TRUE	FALSE
TRIL	FALSE	TRUE	FALSE
NDRG2	FALSE	TRUE	FALSE
NMB	FALSE	TRUE	FALSE
GFAP	FALSE	TRUE	FALSE
SLC1A2	FALSE	TRUE	FALSE
RFX4	FALSE	TRUE	FALSE
